
PRCD_RECH_POM_ID_HAB_020 : 2981 row(s);
Action;Start;End;Duration;
Connection;14:36:56.316;14:36:59.497; 3181 ms;
Statment;14:36:59.497;14:36:59.551;   54 ms;
Execution;14:36:59.551;14:37:01.736; 2185 ms;
Total;14:36:56.316;14:37:01.736; 5420 ms;

PRCD_RECH_POM_ID_HAB_020;
N°;Name;Type;Size;Class;
1;ID_POM_STM;BIGINT;20;java.lang.Long;
2;CD_TYPE_IDNT;CHAR;10;java.lang.String;
3;ID_POM_SYST;VARCHAR;32;java.lang.String;
4;LB_POM_SI;VARCHAR;256;java.lang.String;
5;MIN_DATE;DATE;10;java.sql.Date;
6;MAX_DATE;DATE;10;java.sql.Date;
7;FL_CM;BYTEINT;4;java.lang.Integer;
8;FL_HORS_PRTF;INTEGER;11;java.lang.Integer;

PRCD_RECH_POM_ID_HAB_020 : 2972 row(s);
ID_POM_STM;CD_TYPE_IDNT;ID_POM_SYST;LB_POM_SI;MIN_DATE;MAX_DATE;FL_CM;FL_HORS_PRTF;
82291251;IDC                 ;01440435;MAISON DE RETRAITE DE PROXIMITE  Arras;2010-01-01;9999-12-31;1;null;
82291249;PRM                 ;30000731440875;null;2010-01-01;9999-12-31;1;null;
82291249;IDC                 ;07314408;LE SEQUANA - CSAM C/O SKS;2010-01-01;9999-12-31;1;null;
82291240;PRM                 ;30000134052064;null;2010-01-01;9999-12-31;1;null;
82291240;IDC                 ;01340520;CU SARL ETS DUPONCHEL _ LAMBRES LEZ DOUAI;2010-01-01;9999-12-31;1;null;
82291239;PRM                 ;30000931168080;null;2010-01-01;9999-12-31;1;null;
82291239;IDC                 ;09311680;SARL CONCEPT LOISIRS;2010-01-01;9999-12-31;1;null;
82291235;PRM                 ;30000124032366;null;2010-01-01;9999-12-31;1;null;
82291235;IDC                 ;01240323;PALM PROMOTION VALENCIENNES;2010-01-01;9999-12-31;1;null;
82291234;IDC                 ;09516476;BTPO;2010-01-01;9999-12-31;1;null;
82291234;PRM                 ;30000951647677;null;2010-01-01;9999-12-31;1;null;
